ServiceName,AWS Region,Node,URL,Status,Last Checked GMT
SC-Admin-CN-1,AWSIPOCN,NodeHealth-1,http://10.155.96.233:8780/sc-administration/v1/administration/health,200,2020.12.21-04.10.02
SC-Admin-CN-2,AWSIPOCN,NodeHealth-2,http://10.155.97.9:8780/sc-administration/v1/administration/health,200,2020.12.21-04.10.03
SC-CM-CN-1,AWSIPOCN,NodeHealth-1,http://10.155.96.233:8380/sc-configuration/configurations/health,200,2020.12.21-04.10.04
SC-CM-CN-2,AWSIPOCN,NodeHealth-2,http://10.155.97.9:8380/sc-configuration/configurations/health,200,2020.12.21-04.10.05
SC-PC-CN-1,AWSIPOCN,NodeHealth-1,http://10.155.96.233:8680/sc-productCatalogue/v1/products/health,200,2020.12.21-04.10.06
SC-PC-CN-2,AWSIPOCN,NodeHealth-2,http://10.155.97.9:8680/sc-productCatalogue/v1/products/health,200,2020.12.21-04.10.06
SC-SG-CN-1,AWSIPOCN,NodeHealth-1,http://10.155.96.233:8480/sc-solutionGuide/v1/selectionguides/health,200,2020.12.21-04.10.07
SC-SG-CN-2,AWSIPOCN,NodeHealth-2,http://10.155.97.9:8480/sc-solutionGuide/v1/selectionguides/health,200,2020.12.21-04.10.08
SC-HM-CN-1,AWSIPOCN,NodeHealth-1,http://10.155.96.233:8580/sc-hierarchy/v1/hierarchy/health,200,2020.12.21-04.10.09
SC-HM-CN-2,AWSIPOCN,NodeHealth-2,http://10.155.97.9:8580/sc-hierarchy/v1/hierarchy/health,200,2020.12.21-04.10.10
SDK-SSO-CN-1,AWSIPOCN,NodeHealth-1,http://10.155.3.5:8080/login-webapp/api/v1/health,200,2020.12.21-04.10.10
SDK-SSO-CN-2,AWSIPOCN,NodeHealth-2,http://10.155.2.142:8080/login-webapp/api/v1/health,200,2020.12.21-04.10.11
SDK-SSO-TNC-CN-1,AWSIPOCN,NodeHealth-1,http://10.155.3.5:9080/tnc/v1/health,200,2020.12.21-04.10.12
SDK-SSO-TNC-CN-2,AWSIPOCN,NodeHealth-2,http://10.155.2.142:9080/tnc/v1/health,200,2020.12.21-04.10.12
SPIM-V3-CN-1,AWSIPOCN,NodeHealth-1,http://10.155.97.48:8082/spim-estorage/actuator/health,200,2020.12.21-04.10.13
SPIM-V3-CN-2,AWSIPOCN,NodeHealth-2,http://10.155.96.15:8082/spim-estorage/actuator/health,200,2020.12.21-04.10.14
Ecoreal-XL-backend-1,AWSIPOEMEA,NodeHealth-1,http://10.236.211.168:8080/berrisoft-backend/rest/health,200,2020.12.21-04.10.14
Ecoreal-XL-backend-2,AWSIPOEMEA,NodeHealth-2,http://10.236.209.8:8080/berrisoft-backend/rest/health,200,2020.12.21-04.10.14
Ecoreal-XL-Frontend-1,AWSIPOEMEA,NodeHealth-1,http://10.236.211.149:8080/berrisoft/rest/health,200,2020.12.21-04.10.14
Ecoreal-XL-Frontend-2,AWSIPOEMEA,NodeHealth-2,http://10.236.213.123:8080/berrisoft/rest/health,200,2020.12.21-04.10.14
EQ-services-1,AWSIPOEMEA,NodeHealth-1,http://10.236.177.40:8080/eq-services/api/eq/health,200,2020.12.21-04.10.15
EQ-services-2,AWSIPOEMEA,NodeHealth-2,http://10.236.176.95:8080/eq-services/api/eq/health,200,2020.12.21-04.10.15
Retail-SWB,AWSIPOEMEA,NodeHealth-1,http://10.236.177.40:9080/residential-engine/api/health,200,2020.12.21-04.10.15
Retail-SWB,AWSIPOEMEA,NodeHealth-2,http://10.236.176.95:9080/residential-engine/api/health,200,2020.12.21-04.10.15
SC-Admin-1,AWSIPOEMEA,NodeHealth-1,http://10.236.208.222:8780/sc-administration/v1/administration/health,200,2020.12.21-04.10.15
SC-Admin-2,AWSIPOEMEA,NodeHealth-2,http://10.236.209.230:8780/sc-administration/v1/administration/health,200,2020.12.21-04.10.15
SC-CM-1,AWSIPOEMEA,NodeHealth-1,http://10.236.213.215:8380/sc-configuration/configurations/health,200,2020.12.21-04.10.15
SC-CM-2,AWSIPOEMEA,NodeHealth-2,http://10.236.208.30:8380/sc-configuration/configurations/health,200,2020.12.21-04.10.15
SC-CM-3,AWSIPOEMEA,NodeHealth-3,http://10.236.209.243:8380/sc-configuration/configurations/health,200,2020.12.21-04.10.15
SC-PC-1,AWSIPOEMEA,NodeHealth-1,http://10.236.208.222:8680/sc-productCatalogue/v1/products/health,200,2020.12.21-04.10.15
SC-PC-2,AWSIPOEMEA,NodeHealth-2,http://10.236.209.230:8680/sc-productCatalogue/v1/products/health,200,2020.12.21-04.10.15
SC-PS-1,AWSIPOEMEA,NodeHealth-1,http://10.236.208.222:8180/sc-productSelector/v1/selectors/health,200,2020.12.21-04.10.15
SC-PS-2,AWSIPOEMEA,NodeHealth-2,http://10.236.209.230:8180/sc-productSelector/v1/selectors/health,200,2020.12.21-04.10.16
SC-SG-1,AWSIPOEMEA,NodeHealth-1,http://10.236.208.68:8480/sc-solutionGuide/v1/selectionguides/health,200,2020.12.21-04.10.16
SC-SG-2,AWSIPOEMEA,NodeHealth-2,http://10.236.209.242:8480/sc-solutionGuide/v1/selectionguides/health,200,2020.12.21-04.10.16
SC-HM-1,AWSIPOEMEA,NodeHealth-1,http://10.236.208.222:8580/sc-hierarchy/v1/hierarchy/health,200,2020.12.21-04.10.16
SC-HM-2,AWSIPOEMEA,NodeHealth-2,http://10.236.209.230:8580/sc-hierarchy/v1/hierarchy/health,200,2020.12.21-04.10.16
SDK-BOM-1,AWSIPOEMEA,NodeHealth-1,http://10.236.213.154:8081/bom-service/api/v1/health,200,2020.12.21-04.10.16
SDK-BOM-2,AWSIPOEMEA,NodeHealth-2,http://10.236.211.13:8081/bom-service/api/v1/health,200,2020.12.21-04.10.16
SDK-Pricing-1,AWSIPOEMEA,NodeHealth-1,http://10.236.213.154:8082/pricing-api/api/health,200,2020.12.21-04.10.16
SDK-Pricing-2,AWSIPOEMEA,NodeHealth-2,http://10.236.211.13:8082/pricing-api/api/health,200,2020.12.21-04.10.16
SDK-CSM-1,AWSIPOEMEA,NodeHealth-1,http://10.236.209.192:8080/csm/v1/health,200,2020.12.21-04.10.16
SDK-CSM-2,AWSIPOEMEA,NodeHealth-2,http://10.236.211.161:8080/csm/v1/health,200,2020.12.21-04.10.16
SDK-SSO-1,AWSIPOEMEA,NodeHealth-1,http://10.236.209.110:8080/login-webapp/api/v1/health,200,2020.12.21-04.10.17
SDK-SSO-2,AWSIPOEMEA,NodeHealth-2,http://10.236.211.31:8080/login-webapp/api/v1/health,200,2020.12.21-04.10.17
SDK-SSO-TNC-1,AWSIPOEMEA,NodeHealth-1,http://10.236.209.110:9080/tnc/v1/health,200,2020.12.21-04.10.17
SDK-SSO-TNC-2,AWSIPOEMEA,NodeHealth-2,http://10.236.211.31:9080/tnc/v1/health,200,2020.12.21-04.10.17
Smartification-API-1,AWSIPOEMEA,NodeHealth-1,http://10.236.213.159:8080/api/health,200,2020.12.21-04.10.17
Smartification-API-2,AWSIPOEMEA,NodeHealth-2,http://10.236.210.216:8080/api/health,200,2020.12.21-04.10.17
Smartification-Basket-API-1,AWSIPOEMEA,NodeHealth-1,http://10.236.213.159:8180/api/health,200,2020.12.21-04.10.18
Smartification-Basket-API-2,AWSIPOEMEA,NodeHealth-2,http://10.236.210.216:8180/api/health,200,2020.12.21-04.10.18
SPIM-V3-1,AWSIPOEMEA,NodeHealth-1,http://10.236.210.122:8082/spim-estorage/actuator/health,200,2020.12.21-04.10.18
SPIM-V3-2,AWSIPOEMEA,NodeHealth-2,http://10.236.211.105:8082/spim-estorage/actuator/health,200,2020.12.21-04.10.18
NEW-630-BACK-END,AWSIPOEMEA,NodeHealth-1,https://10.236.211.193/back4po/v1/health,200,2020.12.21-04.10.18
NEW-630-BACK-END,AWSIPOEMEA,NodeHealth-2,https://10.236.210.132/back4po/v1/health,200,2020.12.21-04.10.18
PNE-HELPER-BACK,AWSIPOEMEA,NodeHealth-1,https://10.236.211.184/pneref/v1/health,200,2020.12.21-04.10.19
PNE-HELPER-BACK,AWSIPOEMEA,NodeHealth-2,https://10.236.210.124/pneref/v1/health,200,2020.12.21-04.10.19
MechaDB,AWSIPOEMEA,NodeHealth-1,http://10.236.211.29:8080/mechanical-database-api/api/health,200,2020.12.21-04.10.19
MechaDB,AWSIPOEMEA,NodeHealth-2,http://10.236.210.9:8080/mechanical-database-api/api/health,200,2020.12.21-04.10.19
SWBEngine,AWSIPOEMEA,NodeHealth-1,http://10.236.208.205:8080/switchboard-engine-api/health,200,2020.12.21-04.10.19
SWBEngine,AWSIPOEMEA,NodeHealth-2,http://10.236.209.187:8080/switchboard-engine-api/health,200,2020.12.21-04.10.19
SWBEditor,AWSIPOEMEA,NodeHealth-1,http://10.236.211.60:8026/switchboard-editor-api/health,200,2020.12.21-04.10.20
SWBEditor,AWSIPOEMEA,NodeHealth-2,http://10.236.209.204:8026/switchboard-editor-api/health,200,2020.12.21-04.10.20
BACKEND_S&C_DATA,AWSIPOEMEA,NodeHealth-1,http://10.236.178.124:8780/sc-administration/v1/administration/health,200,2020.12.21-04.10.20
BACKEND_S&C_DATA,AWSIPOEMEA,NodeHealth-1,http://10.236.178.124:8580/sc-hierarchy/v1/hierarchy/health,200,2020.12.21-04.10.20
BACKEND_S&C_DATA,AWSIPOEMEA,NodeHealth-1,http://10.236.178.124:8180/sc-productSelector/v1/selectors/health,200,2020.12.21-04.10.20
BACKEND_S&C_DATA,AWSIPOEMEA,NodeHealth-1,http://10.236.178.124:8380/sc-configuration/configurations/health,200,2020.12.21-04.10.20
BACKEND_S&C_DATA,AWSIPOEMEA,NodeHealth-1,http://10.236.178.124:8680/sc-productCatalogue/v1/products/health,200,2020.12.21-04.10.20
BACKEND_S&C_DATA,AWSIPOEMEA,NodeHealth-1,http://10.236.178.124:8480/sc-solutionGuide/v1/selectionguides/health,200,2020.12.21-04.10.20
BACKEND_S&C_DATA,AWSIPOEMEA,NodeHealth-2,http://10.236.176.193:8780/sc-administration/v1/administration/health,200,2020.12.21-04.10.20
BACKEND_S&C_DATA,AWSIPOEMEA,NodeHealth-2,http://10.236.176.193:8580/sc-hierarchy/v1/hierarchy/health,200,2020.12.21-04.10.20
BACKEND_S&C_DATA,AWSIPOEMEA,NodeHealth-2,http://10.236.176.193:8180/sc-productSelector/v1/selectors/health,200,2020.12.21-04.10.20
BACKEND_S&C_DATA,AWSIPOEMEA,NodeHealth-2,http://10.236.176.193:8380/sc-configuration/configurations/health,200,2020.12.21-04.10.20
BACKEND_S&C_DATA,AWSIPOEMEA,NodeHealth-2,http://10.236.176.193:8680/sc-productCatalogue/v1/products/health,200,2020.12.21-04.10.21
BACKEND_S&C_DATA,AWSIPOEMEA,NodeHealth-2,http://10.236.176.193:8480/sc-solutionGuide/v1/selectionguides/health,200,2020.12.21-04.10.21
S&C_Batch,AWSIPOEMEA,NodeHealth-1,https://10.236.208.94/configurations/health,200,2020.12.21-04.10.21
